Ax_By_Cz,A,B,C,x,y,z,structure,S1,S2,S3,S4,Energy,Av_chg_x,Av_chg_y,Avg_chg_z,Charge,M,state
Fe14_Cr2_Se16,Fe,Cr,Se,0.875,0.125,1,"1,4",2,0,0,0,-194.00775572,7.9,6.2,4.0,188.077,4.584,1.0
Fe14_Cr2_Se16,Fe,Cr,Se,0.875,0.125,1,"1,5",1,1,0,0,-194.20262364,7.9,6.2,4.0,188.063,3.743,1.0
Fe14_Cr2_Se16,Fe,Cr,Se,0.875,0.125,1,"1,6",1,1,0,0,-194.0743694,7.9,6.2,4.0,188.073,5.053,1.0
Fe14_Cr2_Se16,Fe,Cr,Se,0.875,0.125,1,"1,7",1,1,0,0,-194.16167682,7.9,6.2,4.0,188.065,3.621,1.0
Fe14_Cr2_Se16,Fe,Cr,Se,0.875,0.125,1,"1,8",1,1,0,0,-194.07436883,7.9,6.2,4.0,188.073,5.053,1.0
Fe14_Cr2_Se16,Fe,Cr,Se,0.875,0.125,1,"1,13",1,0,0,1,-194.20261672,7.9,6.2,4.0,188.063,3.743,1.0
Fe14_Cr2_Se16,Fe,Cr,Se,0.875,0.125,1,"1,14",1,0,0,1,-194.07435621,7.9,6.2,4.0,188.073,5.053,1.0
Fe14_Cr2_Se16,Fe,Cr,Se,0.875,0.125,1,"1,15",1,0,0,1,-194.16167174,7.9,6.2,4.0,188.065,3.621,1.0
Fe14_Cr2_Se16,Fe,Cr,Se,0.875,0.125,1,"1,16",1,0,0,1,-194.07435603,7.9,6.2,4.0,188.073,5.053,1.0
Fe14_Cr2_Se16,Fe,Cr,Se,0.875,0.125,1,"5,9",0,1,1,0,-194.2026167,7.9,6.2,4.0,188.063,3.743,1.0
Fe14_Cr2_Se16,Fe,Cr,Se,0.875,0.125,1,"5,10",0,1,1,0,-194.07435711,7.9,6.2,4.0,188.073,5.053,1.0
Fe14_Cr2_Se16,Fe,Cr,Se,0.875,0.125,1,"5,11",0,1,1,0,-194.16167173,7.9,6.2,4.0,188.065,3.621,1.0
Fe14_Cr2_Se16,Fe,Cr,Se,0.875,0.125,1,"5,12",0,1,1,0,-194.07435684,7.9,6.2,4.0,188.073,5.053,1.0
Fe15_Cr1_Te16,Fe,Cr,Te,0.9375,0.0625,1,"1,",1,0,0,0,-151.60376308,8.5,7.1,3.9,196.965,0.0,0.0
Fe14_Cr2_Te16,Fe,Cr,Te,0.875,0.125,1,"1,2",2,0,0,0,-151.16668703,8.5,7.1,3.9,195.685,0.0,0.0
Fe14_Cr2_Te16,Fe,Cr,Te,0.875,0.125,1,"1,3",2,0,0,0,-151.06473906,8.5,7.1,3.9,195.674,0.0,0.0
Fe14_Cr2_Te16,Fe,Cr,Te,0.875,0.125,1,"1,4",2,0,0,0,-151.16668637,8.5,7.1,3.9,195.685,0.0,0.0
Fe14_Cr2_Te16,Fe,Cr,Te,0.875,0.125,1,"1,5",1,1,0,0,-151.25128308,8.5,7.1,3.9,195.668,-0.374,2.0
Fe14_Cr2_Te16,Fe,Cr,Te,0.875,0.125,1,"1,6",1,1,0,0,-151.09257441,8.5,7.1,3.9,195.678,0.0,0.0
Fe14_Cr2_Te16,Fe,Cr,Te,0.875,0.125,1,"1,7",1,1,0,0,-151.16767895,8.5,7.1,3.9,195.677,0.0,0.0
Fe14_Cr2_Te16,Fe,Cr,Te,0.875,0.125,1,"1,8",1,1,0,0,-151.09257418,8.5,7.1,3.9,195.678,0.0,0.0
Fe14_Cr2_Te16,Fe,Cr,Te,0.875,0.125,1,"1,13",1,0,0,1,-151.25128131,8.5,7.1,3.9,195.668,-0.374,2.0
Fe14_Cr2_Te16,Fe,Cr,Te,0.875,0.125,1,"1,14",1,0,0,1,-151.09255922,8.5,7.1,3.9,195.678,0.0,0.0
Fe14_Cr2_Te16,Fe,Cr,Te,0.875,0.125,1,"1,15",1,0,0,1,-151.16767784,8.5,7.1,3.9,195.677,0.0,0.0
Fe14_Cr2_Te16,Fe,Cr,Te,0.875,0.125,1,"1,16",1,0,0,1,-151.09255914,8.5,7.1,3.9,195.678,0.0,0.0
Fe14_Cr2_Te16,Fe,Cr,Te,0.875,0.125,1,"5,9",0,1,1,0,-151.25128131,8.5,7.1,3.9,195.668,-0.374,2.0
Fe14_Cr2_Te16,Fe,Cr,Te,0.875,0.125,1,"5,10",0,1,1,0,-151.09256051,8.5,7.1,3.9,195.678,0.0,0.0
Fe14_Cr2_Te16,Fe,Cr,Te,0.875,0.125,1,"5,11",0,1,1,0,-151.16767784,8.5,7.1,3.9,195.677,0.0,0.0
Fe14_Cr2_Te16,Fe,Cr,Te,0.875,0.125,1,"5,12",0,1,1,0,-151.09256053,8.5,7.1,3.9,195.678,0.0,0.0
Fe15_Mn1_S16,Fe,Mn,S,0.9375,0.0625,1,"1,",1,0,0,0,-217.1145729,7.5,6.0,3.7,177.987,6.562,1.0
Fe14_Mn2_S16,Fe,Mn,S,0.875,0.125,1,"1,2",2,0,0,0,-217.9943827,7.5,6.0,3.7,176.584,8.476,1.0
Fe14_Mn2_S16,Fe,Mn,S,0.875,0.125,1,"1,3",2,0,0,0,-218.09257123,7.5,6.0,3.7,176.587,7.976,1.0
Fe14_Mn2_S16,Fe,Mn,S,0.875,0.125,1,"1,4",2,0,0,0,-217.99438288,7.5,6.0,3.7,176.584,8.476,1.0
Fe14_Mn2_S16,Fe,Mn,S,0.875,0.125,1,"1,5",1,1,0,0,,7.5,6.0,3.7,,,
Fe14_Mn2_S16,Fe,Mn,S,0.875,0.125,1,"1,6",1,1,0,0,-218.03037758,7.5,6.0,3.7,176.592,8.11,1.0
Fe14_Mn2_S16,Fe,Mn,S,0.875,0.125,1,"1,7",1,1,0,0,,7.5,6.0,3.7,,,
Fe14_Mn2_S16,Fe,Mn,S,0.875,0.125,1,"1,8",1,1,0,0,-218.02194718,7.5,6.0,3.7,176.598,7.061,1.0
Fe14_Mn2_S16,Fe,Mn,S,0.875,0.125,1,"1,13",1,0,0,1,,7.5,6.0,3.7,,,
Fe14_Mn2_S16,Fe,Mn,S,0.875,0.125,1,"1,14",1,0,0,1,-218.02692201,7.5,6.0,3.7,176.595,7.875,1.0
Fe14_Mn2_S16,Fe,Mn,S,0.875,0.125,1,"1,15",1,0,0,1,,7.5,6.0,3.7,,,
Fe14_Mn2_S16,Fe,Mn,S,0.875,0.125,1,"1,16",1,0,0,1,-218.02193703,7.5,6.0,3.7,176.598,7.061,1.0
Fe14_Mn2_S16,Fe,Mn,S,0.875,0.125,1,"5,9",0,1,1,0,,7.5,6.0,3.7,,,
Fe14_Mn2_S16,Fe,Mn,S,0.875,0.125,1,"5,10",0,1,1,0,-218.02193572,7.5,6.0,3.7,176.598,7.061,1.0
Fe14_Mn2_S16,Fe,Mn,S,0.875,0.125,1,"5,11",0,1,1,0,,7.5,6.0,3.7,,,
Fe14_Mn2_S16,Fe,Mn,S,0.875,0.125,1,"5,12",0,1,1,0,-218.02193509,7.5,6.0,3.7,176.598,7.061,1.0
Fe15_Mn1_Se16,Fe,Mn,Se,0.9375,0.0625,1,"1,",1,0,0,0,-193.26733426,7.9,6.3,4.0,189.515,2.2,1.0
Fe14_Mn2_Se16,Fe,Mn,Se,0.875,0.125,1,"1,2",2,0,0,0,-193.78417665,7.9,6.3,4.0,188.086,3.308,1.0
Fe14_Mn2_Se16,Fe,Mn,Se,0.875,0.125,1,"1,3",2,0,0,0,-193.79756029,7.9,6.3,4.0,188.091,3.759,1.0
Fe14_Mn2_Se16,Fe,Mn,Se,0.875,0.125,1,"1,4",2,0,0,0,-193.78417696,7.9,6.3,4.0,188.086,3.308,1.0
