Fe,S1,S2,S3,S4,Ni,Co,Cr,Mn,Se,S,Te,M_predicted
0.9265000000000001,1,0,0,0,0.0735,0,0,0,0,1,0,4.656052404734152
0.9259999999999999,0,0,0,1,0.07400000000000001,0,0,0,0,1,0,4.646850497835494
0.9259999999999999,0,1,0,0,0.07400000000000001,0,0,0,0,1,0,4.689030854145854
0.9259999999999999,0,0,1,0,0.07400000000000001,0,0,0,0,1,0,4.685575843684093
0.9259999999999999,1,0,0,0,0.07400000000000001,0,0,0,0,1,0,4.656745738067485
0.9255,0,0,0,1,0.0745,0,0,0,0,1,0,4.646850497835494
0.9255,0,1,0,0,0.0745,0,0,0,0,1,0,4.654488854145854
0.9255,0,0,1,0,0.0745,0,0,0,0,1,0,4.684675843684093
0.9255,1,0,0,0,0.0745,0,0,0,0,1,0,4.655552404734152
0.925,0,0,0,1,0.075,0,0,0,0,1,0,4.626970386724384
0.925,0,1,0,0,0.075,0,0,0,0,1,0,4.65508443106893
0.925,0,0,1,0,0.075,0,0,0,0,1,0,4.691991843684092
